sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
160.75,bus1,122830043,156415834#9_0,N/A,0.04,no,N/A,ETA unavailable
160.8,bus2,N/A,405356966_1,N/A,7.99,no,N/A,No TLS ahead
160.8,bus1,122830043,156415834#9_0,N/A,0.05,no,N/A,ETA unavailable
160.85,bus2,N/A,405356966_1,N/A,8.03,no,N/A,No TLS ahead
160.85,bus1,122830043,156415834#9_0,N/A,0.05,no,N/A,ETA unavailable
160.9,bus2,N/A,405356966_1,N/A,8.08,no,N/A,No TLS ahead
160.9,bus1,122830043,156415834#9_0,N/A,0.06,no,N/A,ETA unavailable
160.95,bus2,N/A,405356966_1,N/A,8.13,no,N/A,No TLS ahead
160.95,bus1,122830043,156415834#9_0,N/A,0.07,no,N/A,ETA unavailable
161.0,bus2,N/A,405356966_1,N/A,8.19,no,N/A,No TLS ahead
161.0,bus1,122830043,156415834#9_0,N/A,0.09,no,N/A,ETA unavailable
161.05,bus2,N/A,405356966_1,N/A,8.25,no,N/A,No TLS ahead
161.05,bus1,122830043,156415834#9_0,N/A,0.1,no,N/A,ETA unavailable
161.1,bus2,N/A,405356966_1,N/A,8.28,no,N/A,No TLS ahead
161.1,bus1,122830043,156415834#9_0,341.97,0.11,no,N/A,ETA too high (342.0s)
161.15,bus2,N/A,405356966_1,N/A,8.33,no,N/A,No TLS ahead
161.15,bus1,122830043,156415834#9_0,300.59,0.13,no,N/A,ETA too high (300.6s)
161.2,bus2,N/A,405356966_1,N/A,8.39,no,N/A,No TLS ahead
161.2,bus1,122830043,156415834#9_0,270.07,0.14,no,N/A,ETA too high (270.1s)
161.25,bus2,N/A,405356966_1,N/A,8.45,no,N/A,No TLS ahead
161.25,bus1,122830043,156415834#9_0,240.37,0.16,no,N/A,ETA too high (240.4s)
161.3,bus2,N/A,405356966_1,N/A,8.5,no,N/A,No TLS ahead
161.3,bus1,122830043,156415834#9_0,209.29,0.18,no,N/A,ETA too high (209.3s)
161.35,bus2,N/A,405356966_1,N/A,8.53,no,N/A,No TLS ahead
161.35,bus1,122830043,156415834#9_0,187.76,0.2,no,N/A,ETA too high (187.8s)
161.4,bus2,N/A,405356966_1,N/A,8.57,no,N/A,No TLS ahead
161.4,bus1,122830043,156415834#9_0,169.41,0.23,no,N/A,ETA too high (169.4s)
161.45,bus2,N/A,405356966_1,N/A,8.6,no,N/A,No TLS ahead
161.45,bus1,122830043,156415834#9_0,153.51,0.25,no,N/A,ETA too high (153.5s)
161.5,bus2,N/A,405356966_1,N/A,8.66,no,N/A,No TLS ahead
161.5,bus1,122830043,156415834#9_0,138.53,0.28,no,N/A,ETA too high (138.5s)
161.55,bus2,N/A,405356966_1,N/A,8.71,no,N/A,No TLS ahead
161.55,bus1,122830043,156415834#9_0,127.85,0.3,no,N/A,ETA too high (127.8s)
161.6,bus2,N/A,405356966_1,N/A,8.75,no,N/A,No TLS ahead
161.6,bus1,122830043,156415834#9_0,116.76,0.33,no,N/A,ETA too high (116.8s)
161.65,bus2,N/A,405356966_1,N/A,8.8,no,N/A,No TLS ahead
161.65,bus1,122830043,156415834#9_0,106.75,0.36,no,N/A,ETA too high (106.7s)
161.7,bus2,N/A,405356966_1,N/A,8.83,no,N/A,No TLS ahead
161.7,bus1,122830043,156415834#9_0,98.16,0.39,no,N/A,ETA too high (98.2s)
161.75,bus2,N/A,405356966_1,N/A,8.87,no,N/A,No TLS ahead
161.75,bus1,122830043,156415834#9_0,91.18,0.42,no,N/A,ETA too high (91.2s)
161.8,bus2,N/A,405356966_1,N/A,8.91,no,N/A,No TLS ahead
161.8,bus1,122830043,156415834#9_0,83.17,0.46,no,N/A,ETA too high (83.2s)
161.85,bus2,N/A,405356966_1,N/A,8.94,no,N/A,No TLS ahead
161.85,bus1,122830043,156415834#9_0,77.8,0.49,no,N/A,ETA too high (77.8s)
161.9,bus2,N/A,405356966_1,N/A,9.0,no,N/A,No TLS ahead
161.9,bus1,122830043,156415834#9_0,72.5,0.53,no,N/A,ETA too high (72.5s)
161.95,bus2,N/A,405356966_1,N/A,9.04,no,N/A,No TLS ahead
161.95,bus1,122830043,156415834#9_0,66.5,0.57,no,N/A,ETA too high (66.5s)
162.0,bus2,N/A,405356966_1,N/A,9.08,no,N/A,No TLS ahead
162.0,bus1,122830043,156415834#9_0,62.35,0.61,no,N/A,ETA too high (62.3s)
162.05,bus2,N/A,405356966_1,N/A,9.13,no,N/A,No TLS ahead
