sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position,speed,priority_granted,phase_index,note,actual_delay
17,5,DEFAULT_VEHTYPE,123285305,-13394199#0_0,5.153938893199426,6.509117996124625,yes,2,green granted after 3s,3
23,t1A9-b1601D-sl4.0,bus,123731751,-405337861#1_0,117.18907794356504,0.0,yes,0,green granted after 3s,3
33,4,DEFAULT_VEHTYPE,cluster_123168517_1923921139,405337851_0,87.80752349262684,4.068538086101018,yes,0,green granted after 3s,3
35,t1A9-b1601D-sl4.0,bus,123731751,-405337861#1_0,124.49155069899437,2.8204345564590767,yes,0,green granted after 3s,3
39,8,DEFAULT_VEHTYPE,123285305,-13394199#0_0,3.450160945171783,6.62600429916314,yes,2,green granted after 3s,3
52,t212-b15F99-sl4.0,bus,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,405337863#1_0,21.649375780598024,0.28699636426357783,yes,0,green granted after 3s,3
60,3,DEFAULT_VEHTYPE,cluster_123168517_1923921139,-13380841#0_0,2.0233486088253407,15.731577216640764,yes,4,green granted after 3s,3
62,t1A9-b1601D-sl4.0,bus,123285305,-405337844_0,94.53812593522947,1.0620108721401968,yes,0,green granted after 3s,3
72,8,DEFAULT_VEHTYPE,cluster_123168517_1923921139,405337851_0,10.01644444502867,9.778721420953252,yes,0,green granted after 3s,3
84,1,DEFAULT_VEHTYPE,123285305,13407257#3_0,58.777601758992304,2.8477366040465846,yes,2,green granted after 3s,3
89,t212-b15F99-sl4.0,bus,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,405337863#1_0,7.38732526249747,3.149698453489691,yes,0,green granted after 3s,3
91,10,DEFAULT_VEHTYPE,cluster_123168517_1923921139,13399273#13_0,41.02355030283591,0.9330099408443593,yes,4,green granted after 3s,3
92,14,DEFAULT_VEHTYPE,cluster_123566647_1923921203,693134371#6_0,5.950824411200255,7.931517320713176,yes,4,green granted after 3s,3
99,12,DEFAULT_VEHTYPE,123285305,405337831#1_0,3.047672585136681,7.841214588444338,yes,0,green granted after 3s,3
102,43,DEFAULT_VEHTYPE,cluster_123566647_1923921203,693134371#6_0,11.247056006086117,0.301853352604915,yes,4,green granted after 3s,3
102,17,DEFAULT_VEHTYPE,cluster_123168517_1923921139,405337851_1,18.997027037323484,7.389020854603704,yes,0,green granted after 3s,3
114,t1A9-b1601D-sl4.0,bus,cluster_123168517_1923921139,405337851_0,80.322023137277,4.16243140919843,yes,0,green granted after 3s,3
114,15,DEFAULT_VEHTYPE,cluster_123566647_1923921203,692908076#12_0,8.005155527920804,0.02033424793432673,yes,4,green granted after 3s,3
117,49,DEFAULT_VEHTYPE,GS_cluster_1923879138_1923921160_1923921168_1923921191,405337859#1_3,8.792824970256461,5.596385768701493,yes,4,green granted after 3s,3
120,20,DEFAULT_VEHTYPE,123285305,-13394199#0_0,15.65290175026628,0.2406886858668226,yes,2,green granted after 3s,3
124,t212-b15F99-sl4.0,bus,cluster_123566647_1923921203,405337826_0,15.968468330987115,0.0,yes,0,green granted after 3s,3
129,21,DEFAULT_VEHTYPE,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,405337863#1_0,4.191427491239919,7.860232254164294,yes,0,green granted after 3s,3
130,1,DEFAULT_VEHTYPE,cluster_123168517_1923921139,405337851_1,4.717218648317271,8.272612352925353,yes,0,green granted after 3s,3
138,0,DEFAULT_VEHTYPE,cluster_123566647_1923921203,405337823_2,6.412928317401894,11.195004089810514,yes,0,green granted after 3s,3
