sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
77,f_0.2,DEFAULT_VEHTYPE,N/A,406215698#0_1,end,112.58,29.037084658023883
77,f_2.1,DEFAULT_VEHTYPE,N/A,406233344_3,middle,17.22,10.593572215085887
77,t_0,bus,N/A,192503244#0_1,start,0.43,5.449607415357605
78,f_0.5,DEFAULT_VEHTYPE,N/A,:2761920333_0_1,middle,4.24,25.175940894808896
78,f_0.6,DEFAULT_VEHTYPE,N/A,406215688_3,middle,32.72,24.955344152397537
78,f_0.7,DEFAULT_VEHTYPE,N/A,:4083175946_0_3,middle,4.06,25.242827675972855
78,f_1.12,DEFAULT_VEHTYPE,N/A,:4083175937_2_3,end,8.26,6.8263908653133605
79,f_1.4,DEFAULT_VEHTYPE,N/A,406215694_2,middle,199.96,29.090716415422126
79,f_2.0,DEFAULT_VEHTYPE,N/A,:2030551464_0_2,middle,8.97,7.563838259802952
80,f_1.13,DEFAULT_VEHTYPE,N/A,:6483341599_3_2,middle,3.27,13.758273643445351
81,f_0.13,DEFAULT_VEHTYPE,N/A,406216739_1,middle,32.94,23.7886336776851
81,f_0.4,DEFAULT_VEHTYPE,N/A,:2761920503_0_1,start,0.76,22.438555596503626
81,f_1.17,DEFAULT_VEHTYPE,N/A,406215655_0,end,24.06,7.770781141263434
82,f_0.14,DEFAULT_VEHTYPE,N/A,:2761920351_0_1,end,7.27,27.792172239408586
82,f_0.16,DEFAULT_VEHTYPE,N/A,271237812#0_1,end,115.13,19.870113938115537
82,f_1.1,DEFAULT_VEHTYPE,N/A,:4083175947_0_1,end,7.89,27.71140193939471
82,f_1.17,DEFAULT_VEHTYPE,N/A,406215650_0,start,0.8,9.843735168850982
82,f_1.5,DEFAULT_VEHTYPE,N/A,406215647_2,middle,10.4,24.3733107542763
83,f_1.18,DEFAULT_VEHTYPE,N/A,406215655_0,middle,12.44,4.903181797405705
83,f_1.8,DEFAULT_VEHTYPE,N/A,:268162713_0_1,start,0.71,23.41242487629901
84,f_1.13,DEFAULT_VEHTYPE,N/A,406215639#0_3,start,0.98,11.92918707985634
85,f_1.18,DEFAULT_VEHTYPE,N/A,:36750787_2_0,middle,4.42,8.941020667739213
85,f_1.9,DEFAULT_VEHTYPE,N/A,1029507042_3,end,18.86,29.015868780608145
86,f_0.14,DEFAULT_VEHTYPE,N/A,406216735_1,start,0.32,26.885022117108505
