sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position,speed,priority_granted,phase_index,note,actual_delay
856,f_2.172,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,42.433675156380644,13.25154044923483,yes,4,green granted after 8s,8
865,f_2.131,DEFAULT_VEHTYPE,1166628271,604060294_0,63.14412471607264,20.19893302694408,yes,0,green granted after 8s,8
891,f_2.148,DEFAULT_VEHTYPE,cluster_1166628429_12503965554_268161337_268161552,334631554#0_1,19.119886274119885,7.306853030509324,yes,0,green granted after 8s,8
901,f_2.187,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_0,30.118892606645698,0.001963583044052726,yes,0,green granted after 8s,8
904,f_0.189,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406216725#0_2,138.92870725560718,25.187342064678553,yes,0,green granted after 8s,8
931,f_2.189,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,23.55239244867466,9.010505596974095,yes,4,green granted after 8s,8
943,f_2.147,DEFAULT_VEHTYPE,1166628271,604060294_2,3.233213415156783,24.898094506691006,yes,0,green granted after 8s,8
949,f_2.157,DEFAULT_VEHTYPE,GS_268161547,405546347#0_0,69.59956890141984,17.13908296817737,yes,0,green granted after 8s,8
962,f_2.174,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_2,15.2607635401066,12.787776037353657,yes,0,green granted after 8s,8
966,f_1.185,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406215613#0_0,74.89520828383208,18.42623014085069,yes,0,green granted after 8s,8
967,f_2.157,DEFAULT_VEHTYPE,cluster_1166628429_12503965554_268161337_268161552,334631554#0_0,40.22169273120352,12.521811070194275,yes,0,green granted after 8s,8
