sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
3.95,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,19.42,2.2,no,N/A,ETA too high (19.4s)
3.95,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.0,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,18.99,2.24,no,N/A,ETA too high (19.0s)
4.0,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.05,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,18.71,2.27,no,N/A,ETA too high (18.7s)
4.05,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.1,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,18.3,2.32,no,N/A,ETA too high (18.3s)
4.1,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.15,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,17.93,2.36,no,N/A,ETA too high (17.9s)
4.15,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.2,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,17.53,2.41,no,N/A,ETA too high (17.5s)
4.2,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.25,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,17.28,2.43,no,N/A,ETA too high (17.3s)
4.25,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.3,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,16.95,2.47,no,N/A,ETA too high (16.9s)
4.3,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.35,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,16.68,2.51,no,N/A,ETA too high (16.7s)
4.35,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.4,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,16.41,2.54,no,N/A,ETA too high (16.4s)
4.4,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.45,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,16.05,2.59,no,N/A,ETA too high (16.1s)
4.45,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.5,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,15.82,2.62,no,N/A,ETA too high (15.8s)
4.5,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.55,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,15.48,2.67,no,N/A,ETA too high (15.5s)
4.55,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.6,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,15.23,2.7,no,N/A,ETA too high (15.2s)
4.6,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.65,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,14.96,2.74,no,N/A,ETA too high (15.0s)
4.65,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.7,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,14.71,2.78,no,N/A,ETA too high (14.7s)
4.7,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.75,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,14.51,2.81,no,N/A,ETA too high (14.5s)
4.75,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.8,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,14.29,2.84,no,N/A,ETA too high (14.3s)
4.8,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.85,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,14.03,2.88,no,N/A,ETA too high (14.0s)
4.85,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.9,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,13.82,2.91,no,N/A,ETA too high (13.8s)
4.9,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
4.95,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,13.6,2.95,no,N/A,ETA too high (13.6s)
4.95,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
5.0,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,13.41,2.98,no,N/A,ETA too high (13.4s)
