sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
41,12,DEFAULT_VEHTYPE,N/A,:122804862_6_0,middle,2.9,5.948879774680714
41,6,DEFAULT_VEHTYPE,N/A,-13460918#8_0,end,74.72,13.517633675038338
42,13,DEFAULT_VEHTYPE,N/A,13373063#13_0,start,0.82,8.811430382478797
42,15,DEFAULT_VEHTYPE,N/A,405277520#3_0,start,0.85,20.327755490853455
42,6,DEFAULT_VEHTYPE,N/A,-13460918#7_0,middle,3.13,13.693509775027158
43,6,DEFAULT_VEHTYPE,N/A,-13460918#6_0,start,0.05,14.043408864922347
44,2,DEFAULT_VEHTYPE,N/A,:8451745210_6_0,end,8.78,13.315990917536192
44,t163-b2736-sl4.0,bus,N/A,:6437600287_4_0,middle,4.39,13.796336995955274
45,19,DEFAULT_VEHTYPE,N/A,406215698#2_1,start,0.99,12.43364114135038
46,0,DEFAULT_VEHTYPE,N/A,:6785690858_1_0,end,8.92,14.442032187135519
46,10,DEFAULT_VEHTYPE,N/A,:7257413992_6_0,start,0.23,29.84279004218458
46,19,DEFAULT_VEHTYPE,N/A,:6058277519_1_1,start,0.34,13.811187464906833
46,3,DEFAULT_VEHTYPE,N/A,406242649#3_0,end,60.84,11.340041594423315
47,11,DEFAULT_VEHTYPE,N/A,340769362#2_0,middle,27.74,26.141245598597344
47,15,DEFAULT_VEHTYPE,N/A,:7403903337_6_0,end,9.44,27.147239295307234
48,11,DEFAULT_VEHTYPE,N/A,:1211028662_5_0,start,0.64,28.083648144914708
48,6,DEFAULT_VEHTYPE,N/A,-13460918#4_0,start,0.27,13.5065827890993
49,21,DEFAULT_VEHTYPE,N/A,:cluster_123354748_8474141828_11_0,middle,1.02,3.716065
49,21,DEFAULT_VEHTYPE,N/A,:cluster_123354748_8474141828_11_0,end,1.02,3.716065
50,0,DEFAULT_VEHTYPE,N/A,:6785690838_0_0,end,9.27,14.322868329781668
