sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
44.0,bus2,N/A,604060288_0,N/A,20.12,no,N/A,No TLS ahead
44.05,bus1,N/A,406241587#8_1,N/A,27.7,no,N/A,No TLS ahead
44.05,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.1,bus1,N/A,406241587#8_1,N/A,27.74,no,N/A,No TLS ahead
44.1,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
44.15,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.15,bus2,N/A,604060288_0,N/A,20.09,no,N/A,No TLS ahead
44.2,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
44.2,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
44.25,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.25,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.3,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.3,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
44.35,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.35,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.4,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
44.4,bus2,N/A,604060288_0,N/A,20.12,no,N/A,No TLS ahead
44.45,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.45,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.5,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
44.5,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
44.55,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
44.55,bus2,N/A,604060288_0,N/A,20.12,no,N/A,No TLS ahead
44.6,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.6,bus2,N/A,604060288_0,N/A,20.12,no,N/A,No TLS ahead
44.65,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.65,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.7,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.7,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.75,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
44.75,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.8,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
44.8,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.85,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
44.85,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.9,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
44.9,bus2,N/A,:268161362_0_0,N/A,20.1,no,N/A,No TLS ahead
44.95,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
44.95,bus2,N/A,:268161362_0_0,N/A,20.1,no,N/A,No TLS ahead
45.0,bus1,N/A,406241587#8_1,N/A,27.78,no,N/A,No TLS ahead
45.0,bus2,N/A,:268161362_0_0,N/A,20.09,no,N/A,No TLS ahead
45.05,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.05,bus2,N/A,:268161362_0_0,N/A,20.12,no,N/A,No TLS ahead
45.1,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
45.1,bus2,N/A,:268161362_0_0,N/A,20.12,no,N/A,No TLS ahead
45.15,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.15,bus2,N/A,:268161362_0_0,N/A,20.11,no,N/A,No TLS ahead
45.2,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.2,bus2,N/A,:268161362_0_0,N/A,20.12,no,N/A,No TLS ahead
45.25,bus1,N/A,406241587#8_1,N/A,27.78,no,N/A,No TLS ahead
45.25,bus2,N/A,:268161362_0_0,N/A,20.11,no,N/A,No TLS ahead
45.3,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
45.3,bus2,N/A,:268161362_0_0,N/A,20.11,no,N/A,No TLS ahead
45.35,bus1,N/A,406241587#8_1,N/A,27.77,no,N/A,No TLS ahead
45.35,bus2,N/A,:268161362_0_0,N/A,20.11,no,N/A,No TLS ahead
45.4,bus1,N/A,406241587#8_1,N/A,27.76,no,N/A,No TLS ahead
45.4,bus2,N/A,:268161362_0_0,N/A,20.1,no,N/A,No TLS ahead
45.45,bus1,N/A,406241587#8_1,N/A,27.78,no,N/A,No TLS ahead
45.45,bus2,N/A,:268161362_0_0,N/A,20.11,no,N/A,No TLS ahead
45.5,bus1,N/A,406241587#8_1,N/A,27.75,no,N/A,No TLS ahead
